# Won Deals,Average Deal Size,Product Rank,Top Product Total Price
1,3851250,1,3851250
1,3428800,1,1726250
1,663100,1,551100
1,238018,0,0
1,2207200,1,2081200
1,411185,0,0
1,987000,1,987000
1,3298750,1,1850800
1,749210,1,720500
1,179225,1,134000
1,200400,1,200400
1,63600,1,63600
1,249600,1,249600
1,2684465,1,1669800
1,130515,1,102840
2,2570183,1,2692200
1,499928,0,0
1,3251640,1,2430400
1,84329,0,0
1,18900,1,18900
1,386375,1,221175
1,583800,1,583800
1,1598060,1,884800
1,1639550,1,1507050
1,66246,0,0
1,316726,0,0
1,209104,0,0
1,491550,1,427500
2,593200,1,605000
1,343000,1,256200
1,448068,0,0
1,9000,1,9000
2,2053683,1,1682800
1,1132470,1,857650
1,329425,1,246825
1,17621,0,0
1,623750,1,552000
3,899590,1,1628800
2,475000,1,950000
1,390885,1,292275
1,2182350,1,1014600
2,178803,1,14720
3,1267743,1,1052300
1,436500,1,436500
1,1193160,1,1190000
1,681410,1,654600
2,3670550,1,3740800
1,165000,1,165000
1,965700,1,528800
1,646400,1,646400
1,79550,1,79550
1,316254,0,0
1,25095,0,0
1,1337090,1,778750
1,196200,1,196200
2,1089665,1,993500
1,657600,1,560400
1,60760,1,60760
1,131750,1,131750
2,1912695,1,1912500
1,466000,1,306500
1,720875,1,525800
1,171660,1,164700
1,2155875,1,1387400
1,236040,1,236040
2,3811700,1,2811200
2,1315038,1,2041250
1,804275,1,327500
1,898800,1,898800
1,834280,1,715600
1,1224345,1,612000
1,51480,1,51480
1,1578500,1,1444300
1,54090,1,45290
1,165920,1,140000
1,72720,1,72720
1,52440,1,52440
1,470298,0,0
1,459280,0,0
1,1191000,1,733500
1,196890,1,129330
1,638750,1,638750
2,211818,1,27800
1,792270,1,691600
1,1134385,1,869550
1,874780,1,644500
2,1419938,1,2146200
1,89400,1,89400
2,653703,1,923500
1,805000,1,805000
1,2101255,1,1161100
1,198000,1,198000
1,62400,1,62400
1,94151,0,0
1,358100,1,309600
1,197075,1,141075
1,1840000,1,928500
1,3907275,1,2878400
2,201448,1,49760
1,1411200,1,1411200
1,40900,1,26500
1,476918,0,0
1,2276590,1,2121250
1,786875,1,662000
1,424836,0,0
1,269400,1,269400
1,368530,1,296800
1,229470,1,115830
1,1879190,1,1492600
1,503975,1,244000
1,2008900,1,1549900
1,1318960,1,1287000
1,193500,1,119250
2,362573,1,538500
1,5023650,1,2492500
1,902400,1,902400
1,89320,1,89320
1,2389600,1,1985000
1,3426450,1,2403750
1,466893,0,0
2,1267903,1,1240000
1,43355,0,0
2,249802,1,426000
1,73903,0,0
2,1336000,1,2135000
3,1095083,1,2290000
1,105210,1,105210
2,196891,0,0
1,2745600,1,2713600
2,659437,1,898800
3,1170328,1,1798400
1,728525,1,686000
1,82925,1,67400
1,339815,1,289500
1,424600,1,424600
1,3263870,1,2800000
1,3513380,1,2443200
1,1415700,1,1415700
1,68600,1,68600
1,58840,1,58840
1,2294400,1,2294400
1,1241900,1,1241900
1,1518400,1,1401250
1,1183700,1,1163400
1,3168250,1,1566600
1,256275,1,256275
1,79480,1,77680
3,921318,1,1107400
1,1148850,1,744600
1,1241600,1,1144000
2,634310,1,639500
1,3077200,1,1566000
2,756925,1,1386250
1,2604140,1,1254400
2,1765150,1,2393600
1,1418640,1,1373600
2,2009495,1,1900800
1,2942705,1,2723000
2,506885,1,719200
2,1102999,1,1948800
1,401291,0,0
2,729277,1,1075200
1,789160,1,641200
1,73600,1,73600
2,1520384,1,2010000
2,902855,1,808750
1,363901,0,0
1,98850,1,56080
2,501727,1,640000
1,309686,0,0
3,1318953,1,2632000
1,230520,1,230520
1,875880,1,714600
2,2712200,1,2389800
1,94283,0,0
1,2166890,1,987700
1,193757,0,0
3,617958,1,948000
1,163800,1,163800
1,2208300,1,1451800
1,254886,0,0
1,773640,1,752800
1,3555960,1,1093100
1,110986,0,0
1,1452090,1,1350000
1,152400,1,152400
1,1755000,1,918000
2,752970,1,620500
2,1187250,1,1339200
1,1438500,1,756800
1,252545,0,0
1,1518190,1,655000
2,1084782,1,1656650
1,123280,1,76000
1,775200,1,775200
1,240747,0,0
1,273090,1,212880
1,236610,1,236610
1,2880800,1,1441600
1,128265,1,96240
1,1885475,1,1367300
1,5294610,1,2133600
1,524400,1,429600
1,1886550,1,1546150
1,3072000,1,3072000
2,93940,1,182000
1,2303500,1,2128000
2,860165,1,888600
1,352350,1,296100
3,519255,1,995000
1,138690,1,138690
1,33600,1,33600
1,115290,1,115290
1,22240,1,22240
1,1052275,1,786250
1,460956,0,0
1,323550,1,323550
1,218204,0,0
2,2703435,1,2016250
1,76800,1,76800
1,48440,1,48440
1,913240,1,851000
2,134561,1,87240
2,1839663,1,2151600
1,3694000,1,2422500
1,116360,1,72320
3,459113,1,667200
1,2807700,1,2355200
1,156655,0,0
1,5280,1,5280
2,1041669,1,1563750
1,376955,1,251600
2,3070688,1,2695000
2,969800,1,812000
1,435960,0,0
1,2477275,1,2173750
1,412385,1,201250
2,766570,1,1385000
1,1590600,1,917400
1,457656,0,0
1,1417400,1,811200
1,2632925,1,1588800
1,2169600,1,2169600
1,154353,0,0
1,1402500,1,1402500
1,2210350,1,1403350
